source_id	gene_set	gene_name	score
Groningen2017	MES	HLA-C	
Groningen2017	MES	HLA-F	
Groningen2017	MES	HLX	
Groningen2017	MES	HNMT	
Groningen2017	MES	HOMER1	
Groningen2017	MES	HS3ST3A1	
Groningen2017	MES	HSP90B1	
Groningen2017	MES	HSPA5	
Groningen2017	MES	HSPB1	
Groningen2017	MES	HTRA1	
Groningen2017	MES	HYOU1	
Groningen2017	MES	ID1	
Groningen2017	MES	ID3	
Groningen2017	MES	IFI16	
Groningen2017	MES	IFITM2	
Groningen2017	MES	IFITM3	
Groningen2017	MES	IGF2R	
Groningen2017	MES	IGFBP5	
Groningen2017	MES	IGFBP6	
Groningen2017	MES	IL13RA1	
Groningen2017	MES	IL6ST	
Groningen2017	MES	INSIG1	
Groningen2017	MES	IQGAP2	
Groningen2017	MES	ITGA10	
Groningen2017	MES	ITGA4	
Groningen2017	MES	ITGAV	
Groningen2017	MES	ITGB1	
Groningen2017	MES	ITM2B	
Groningen2017	MES	ITM2C	
Groningen2017	MES	ITPR1	
Groningen2017	MES	ITPRIPL2	
Groningen2017	MES	JAK1	
Groningen2017	MES	JAM3	
Groningen2017	MES	KANK2	
Groningen2017	MES	KCNK2	
Groningen2017	MES	KCTD12	
Groningen2017	MES	KDELC2	
Groningen2017	MES	KDELR2	
Groningen2017	MES	KDELR3	
Groningen2017	MES	KDM5B	
Groningen2017	MES	KIAA1462	
Groningen2017	MES	KIF13A	
Groningen2017	MES	KIRREL	
Groningen2017	MES	KLF10	
Groningen2017	MES	KLF4	
Groningen2017	MES	KLF6	
Groningen2017	MES	L3HYPDH	
Groningen2017	MES	LAMB1	
Groningen2017	MES	LAMC1	
Groningen2017	MES	LAMP1	
Groningen2017	MES	LAPTM4A	
Groningen2017	MES	LASP1	
Groningen2017	MES	LATS2	
Groningen2017	MES	LEPROT	
Groningen2017	MES	LGALS1	
Groningen2017	MES	LHFP	
Groningen2017	MES	LHX8	
Groningen2017	MES	LIFR	
Groningen2017	MES	LIPA	
Groningen2017	MES	LITAF	
Groningen2017	MES	LIX1L	
Groningen2017	MES	LMAN1	
Groningen2017	MES	LMNA	
Groningen2017	MES	LOXL2	
