source_id	gene_set	gene_name	score
Groningen2017	ADRN	SEC11C	
Groningen2017	ADRN	SEPT3	
Groningen2017	ADRN	SEPT6	
Groningen2017	ADRN	SERP2	
Groningen2017	ADRN	SETD7	
Groningen2017	ADRN	SHC3	
Groningen2017	ADRN	SHD	
Groningen2017	ADRN	SIX3	
Groningen2017	ADRN	SLC10A4	
Groningen2017	ADRN	SLC35G2	
Groningen2017	ADRN	SLIT1	
Groningen2017	ADRN	SLIT3	
Groningen2017	ADRN	SNAP25	
Groningen2017	ADRN	SNAP91	
Groningen2017	ADRN	SOX11	
Groningen2017	ADRN	ST3GAL6	
Groningen2017	ADRN	STMN2	
Groningen2017	ADRN	STMN4	
Groningen2017	ADRN	STRA6	
Groningen2017	ADRN	STXBP1	
Groningen2017	ADRN	SV2C	
Groningen2017	ADRN	SYNPO2	
Groningen2017	ADRN	SYT1	
Groningen2017	ADRN	SYT4	
Groningen2017	ADRN	TACC2	
Groningen2017	ADRN	TAGLN3	
Groningen2017	ADRN	TBC1D30	
Groningen2017	ADRN	TBPL1	
Groningen2017	ADRN	TCEAL7	
Groningen2017	ADRN	TDG	
Groningen2017	ADRN	TENM4	
Groningen2017	ADRN	TFAP2B	
Groningen2017	ADRN	TH	
Groningen2017	ADRN	THSD7A	
Groningen2017	ADRN	TIAM1	
Groningen2017	ADRN	TMEM108	
Groningen2017	ADRN	TMEM178B	
Groningen2017	ADRN	TMEM97	
Groningen2017	ADRN	TMOD1	
Groningen2017	ADRN	TMOD2	
Groningen2017	ADRN	TMTC4	
Groningen2017	ADRN	TOX2	
Groningen2017	ADRN	TRAP1	
Groningen2017	ADRN	TSPAN13	
Groningen2017	ADRN	TSPAN7	
Groningen2017	ADRN	TTC8	
Groningen2017	ADRN	TUB	
Groningen2017	ADRN	TUBB2A	
Groningen2017	ADRN	TUBB2B	
Groningen2017	ADRN	TUBB3	
Groningen2017	ADRN	TUBB4B	
Groningen2017	ADRN	UBE2C	
Groningen2017	ADRN	UBE2T	
Groningen2017	ADRN	UCP2	
Groningen2017	ADRN	UNC79	
Groningen2017	ADRN	VRK1	
Groningen2017	ADRN	ZNF195	
Groningen2017	ADRN	ZNF22	
Groningen2017	ADRN	ZNF24	
Groningen2017	ADRN	ZNF512	
Groningen2017	ADRN	ZNF536	
Groningen2017	ADRN	ZNF704	
Groningen2017	ADRN	ZNF711	
Groningen2017	ADRN	ZNF738	
Groningen2017	ADRN	ZNF91	
Groningen2017	ADRN	ZWILCH	
